waktu,node,status,delay_ms,rssi_dbm,snr_db
07:07:49,Node3,reply,1100.3,-65,9.75
07:07:51,Node1,reply,1100.6,-68,9.25
07:07:52,Node2,reply,1101.0,-66,9.5
07:07:53,Node3,reply,1099.9,-65,9.5
07:07:55,Node1,reply,1100.3,-67,9.75
07:07:56,Node2,reply,1100.5,-66,9.25
07:07:57,Node3,reply,1100.5,-66,10.0
07:07:59,Node1,reply,1100.1,-66,9.25
07:08:00,Node2,reply,1102.6,-65,9.5
07:08:01,Node3,reply,1099.6,-67,10.0
07:08:02,Node1,reply,1100.5,-68,11.75
07:08:04,Node2,reply,1099.8,-66,9.5
07:08:05,Node3,reply,1100.1,-67,10.25
07:08:06,Node1,reply,1099.8,-67,9.5
07:08:08,Node2,reply,1100.3,-66,9.75
07:08:09,Node3,reply,1100.8,-68,10.25
07:08:10,Node1,reply,1100.3,-68,9.75
07:08:12,Node2,reply,1100.5,-65,9.5
07:08:13,Node3,reply,1101.0,-67,9.75
07:08:14,Node1,reply,1100.5,-68,9.25
07:08:16,Node2,reply,1100.0,-66,9.75
07:08:17,Node3,reply,1100.2,-67,9.75
07:08:18,Node1,reply,1101.2,-68,9.75
07:08:20,Node2,reply,1099.9,-65,10.0
07:08:21,Node3,reply,1102.5,-67,9.5
07:08:22,Node1,reply,1100.4,-69,9.25
07:08:24,Node2,reply,1100.6,-65,10.0
07:08:25,Node3,reply,1100.3,-67,9.75
07:08:26,Node1,reply,1100.7,-68,9.0
07:08:28,Node2,reply,1100.4,-65,9.5
07:08:29,Node3,reply,1100.7,-66,9.5
07:08:30,Node1,reply,1100.4,-69,9.0
07:08:31,Node2,reply,1100.9,-65,9.25
07:08:33,Node3,reply,1100.3,-67,10.0
07:08:34,Node1,reply,1100.8,-69,9.0
07:08:35,Node2,reply,1100.4,-65,10.0
07:08:37,Node3,reply,1100.4,-67,10.0
07:08:38,Node1,reply,1100.8,-69,9.25
07:08:39,Node2,reply,1100.6,-65,10.0
07:08:41,Node3,reply,1100.9,-67,10.0
07:08:42,Node1,reply,1102.3,-66,9.25
07:08:43,Node2,reply,1100.7,-65,10.25
07:08:45,Node3,reply,1100.5,-67,9.75
07:08:46,Node1,reply,1100.4,-68,9.25
07:08:47,Node2,reply,1100.0,-65,10.25
07:08:49,Node3,reply,1100.0,-67,10.0
07:08:50,Node1,reply,1099.8,-67,9.5
07:08:51,Node2,reply,1100.3,-64,9.5
07:08:53,Node3,reply,1100.7,-70,9.75
07:08:54,Node1,reply,1100.3,-67,10.0
07:08:55,Node2,reply,1100.5,-65,9.75
07:08:57,Node3,reply,1100.0,-69,9.5
07:08:58,Node1,reply,1100.9,-67,9.25
07:08:59,Node2,reply,1099.7,-65,9.75
07:09:01,Node3,reply,1100.6,-70,9.5
07:09:02,Node1,reply,1100.4,-69,9.25
07:09:03,Node2,reply,1102.5,-64,9.75
07:09:04,Node3,reply,1100.2,-70,9.5
07:09:06,Node1,reply,1100.1,-69,9.25
07:09:07,Node2,reply,1100.4,-65,9.75
07:09:08,Node3,reply,1099.9,-69,9.25
07:09:10,Node1,reply,1100.3,-68,9.5
07:09:11,Node2,reply,1100.0,-65,9.75
07:09:12,Node3,reply,1100.8,-70,9.25
07:09:14,Node1,reply,1100.3,-68,9.25
07:09:15,Node2,reply,1100.6,-65,9.5
07:09:16,Node3,reply,1100.2,-69,9.25
07:09:18,Node1,reply,1100.7,-67,9.5
07:09:19,Node2,reply,1100.3,-65,9.5
07:09:20,Node3,reply,1100.5,-70,9.5
07:09:22,Node1,reply,1100.6,-67,9.25
07:09:23,Node2,reply,1100.5,-65,9.25
07:09:24,Node3,reply,1102.2,-70,9.5
07:09:26,Node1,reply,1100.5,-68,9.25
07:09:27,Node2,reply,1100.6,-65,9.75
07:09:28,Node3,reply,1100.7,-70,9.5
07:09:30,Node1,reply,1100.2,-68,9.5
07:09:31,Node2,timeout,,,
07:09:33,Node3,reply,1100.8,-66,9.5
07:09:34,Node1,reply,1100.6,-68,9.25
07:09:35,Node2,reply,1100.1,-66,9.75
07:09:37,Node3,reply,1100.5,-69,10.0
07:09:38,Node1,reply,1100.8,-67,9.5
07:09:39,Node2,reply,1100.3,-66,9.5
07:09:40,Node3,reply,1100.6,-67,9.75
07:09:42,Node1,reply,1100.8,-67,9.75
07:09:43,Node2,reply,1100.4,-66,9.5
07:09:44,Node3,reply,1100.3,-66,9.75
07:09:46,Node1,reply,1100.3,-67,9.75
07:09:47,Node2,reply,1100.5,-67,9.75
07:09:48,Node3,reply,1102.2,-66,9.75
07:09:50,Node1,reply,1100.2,-67,9.75
07:09:51,Node2,reply,1100.4,-68,9.5
07:09:52,Node3,reply,1100.3,-67,9.75
07:09:54,Node1,reply,1100.6,-68,9.75
07:09:55,Node2,reply,1100.1,-68,10.0
07:09:56,Node3,reply,1100.4,-68,9.75
07:09:58,Node1,reply,1100.1,-68,9.25
07:09:59,Node2,reply,1100.3,-67,10.0
07:10:00,Node3,reply,1100.3,-68,10.0
07:10:02,Node1,reply,1100.4,-68,9.25
07:10:03,Node2,reply,1100.9,-67,10.0
07:10:04,Node3,reply,1100.5,-69,10.0
07:10:06,Node1,timeout,,,
07:10:07,Node2,reply,1100.7,-67,9.75
07:10:09,Node3,reply,1099.9,-68,9.75
07:10:10,Node1,reply,1100.3,-67,9.5
07:10:11,Node2,reply,1100.4,-67,10.0
07:10:12,Node3,reply,1102.0,-67,9.25
07:10:14,Node1,reply,1100.2,-68,9.0
07:10:15,Node2,reply,1100.2,-67,9.5
07:10:16,Node3,reply,1100.6,-67,9.75
07:10:18,Node1,reply,1100.0,-68,9.5
07:10:19,Node2,reply,1100.4,-67,10.0
07:10:20,Node3,reply,1100.3,-69,9.5
07:10:22,Node1,reply,1100.5,-68,9.25
07:10:23,Node2,reply,1100.1,-68,10.0
07:10:24,Node3,reply,1100.3,-69,10.5
07:10:26,Node1,reply,1100.6,-67,9.75
07:10:27,Node2,reply,1100.1,-67,9.75
07:10:28,Node3,reply,1100.6,-68,9.75
07:10:30,Node1,reply,1099.9,-68,9.75
07:10:31,Node2,reply,1100.9,-67,9.5
07:10:32,Node3,reply,1100.2,-68,10.0
07:10:34,Node1,reply,1102.3,-68,9.0
07:10:35,Node2,reply,1100.0,-67,9.5
07:10:36,Node3,reply,1100.1,-65,10.5
07:10:38,Node1,reply,1100.5,-68,9.5
07:10:39,Node2,reply,1100.3,-67,10.25
07:10:40,Node3,reply,1100.8,-67,9.75
07:10:42,Node1,reply,1100.7,-69,9.25
07:10:43,Node2,reply,1100.4,-67,9.5
07:10:44,Node3,reply,1100.3,-66,9.5
07:10:45,Node1,reply,1100.6,-67,9.75
07:10:47,Node2,reply,1100.8,-66,10.0
07:10:48,Node3,reply,1100.5,-68,10.0
07:10:49,Node1,reply,1100.5,-67,9.5
07:10:51,Node2,reply,1100.4,-66,9.75
07:10:52,Node3,reply,1100.6,-65,10.0
07:10:53,Node1,reply,1100.3,-67,9.25
07:10:55,Node2,reply,1102.4,-66,10.0
07:10:56,Node3,reply,1100.2,-66,9.75
07:10:57,Node1,reply,1100.4,-68,9.5
07:10:59,Node2,reply,1100.6,-67,9.5
07:11:00,Node3,reply,1100.7,-68,9.75
07:11:01,Node1,reply,1100.4,-67,9.25
07:11:03,Node2,reply,1100.6,-67,10.0
07:11:04,Node3,reply,1100.1,-67,9.75
07:11:05,Node1,reply,1100.3,-68,9.25
07:11:07,Node2,reply,1100.4,-68,9.75
07:11:08,Node3,reply,1100.6,-68,10.0
07:11:09,Node1,reply,1100.2,-68,10.0
07:11:11,Node2,reply,1100.0,-68,10.0
07:11:12,Node3,reply,1100.9,-67,9.75
07:11:13,Node1,reply,1100.5,-68,9.75
07:11:15,Node2,reply,1100.5,-67,9.75
07:11:16,Node3,reply,1102.6,-67,9.5
07:11:17,Node1,reply,1100.5,-68,9.75
07:11:18,Node2,reply,1100.3,-66,10.0
07:11:20,Node3,reply,1100.4,-67,9.75
07:11:21,Node1,reply,1100.3,-68,9.25
07:11:22,Node2,reply,1100.9,-67,9.5
07:11:24,Node3,reply,1100.5,-67,10.0
07:11:25,Node1,reply,1100.4,-68,9.5
07:11:26,Node2,reply,1100.5,-67,9.25
07:11:28,Node3,reply,1100.3,-68,10.0
07:11:29,Node1,reply,1100.6,-68,9.0
07:11:30,Node2,reply,1100.2,-67,9.75
07:11:32,Node3,reply,1100.4,-68,9.5
07:11:33,Node1,reply,1100.3,-68,9.75
07:11:34,Node2,reply,1100.9,-67,9.75
07:11:36,Node3,reply,1100.7,-68,9.5
07:11:37,Node1,reply,1102.2,-68,8.5
07:11:38,Node2,reply,1100.7,-68,9.75
07:11:40,Node3,reply,1100.3,-66,10.5
07:11:41,Node1,reply,1100.6,-67,9.25
07:11:42,Node2,reply,1101.1,-66,9.75
07:11:44,Node3,reply,1100.3,-66,9.25
07:11:45,Node1,reply,1100.0,-67,9.75
07:11:46,Node2,reply,1100.4,-67,9.75
