timestamp,segmen,target,durasi_ms,ok,extra
2026-07-22 07:27:38,lora_link,Node1,1094.96,1,rssi=-70;snr=9.0;bytes=182
2026-07-22 07:27:39,firebase_upload,detection_system/node1,70.00,1,bytes=291
2026-07-22 07:27:40,lora_link,Node2,1098.43,1,rssi=-73;snr=10.25;bytes=182
2026-07-22 07:27:40,firebase_upload,detection_system/node2,81.50,1,bytes=293
2026-07-22 07:27:41,lora_link,Node3,1097.36,1,rssi=-62;snr=10.0;bytes=182
2026-07-22 07:27:41,firebase_upload,detection_system/node3,67.81,1,bytes=292
2026-07-22 07:27:42,lora_link,Node1,1100.66,1,rssi=-69;snr=8.75;bytes=182
2026-07-22 07:27:43,firebase_upload,detection_system/node1,76.89,1,bytes=292
2026-07-22 07:27:44,lora_link,Node2,1099.33,1,rssi=-73;snr=9.5;bytes=182
2026-07-22 07:27:44,firebase_upload,detection_system/node2,72.99,1,bytes=291
2026-07-22 07:27:45,lora_link,Node3,1094.41,1,rssi=-62;snr=10.0;bytes=182
2026-07-22 07:27:45,firebase_upload,detection_system/node3,68.63,1,bytes=292
2026-07-22 07:27:46,lora_link,Node1,1099.89,1,rssi=-69;snr=9.0;bytes=182
2026-07-22 07:27:46,firebase_upload,detection_system/node1,72.38,1,bytes=291
2026-07-22 07:27:46,kalibrasi_compute,Node1,3.33,1,
2026-07-22 07:27:46,kalibrasi_total,Node1,80699.66,1,n_frame=20
2026-07-22 07:27:48,lora_link,Node2,1099.47,1,rssi=-73;snr=9.75;bytes=182
2026-07-22 07:27:48,firebase_upload,detection_system/node2,66.79,1,bytes=292
2026-07-22 07:27:48,kalibrasi_compute,Node2,0.51,1,
2026-07-22 07:27:48,kalibrasi_total,Node2,80687.80,1,n_frame=20
2026-07-22 07:27:49,lora_link,Node3,1099.74,1,rssi=-60;snr=9.75;bytes=182
2026-07-22 07:27:49,firebase_upload,detection_system/node3,75.19,1,bytes=292
2026-07-22 07:27:50,lora_link,Node1,1100.05,1,rssi=-67;snr=9.0;bytes=182
2026-07-22 07:27:50,firebase_upload,detection_system/node1,76.25,1,bytes=291
2026-07-22 07:27:52,lora_link,Node2,1091.82,1,rssi=-69;snr=9.5;bytes=182
2026-07-22 07:27:52,firebase_upload,detection_system/node2,91.21,1,bytes=291
2026-07-22 07:27:53,lora_link,Node3,1096.89,1,rssi=-60;snr=9.75;bytes=182
2026-07-22 07:27:53,firebase_upload,detection_system/node3,82.61,1,bytes=292
2026-07-22 07:27:53,kalibrasi_compute,Node3,0.48,1,
2026-07-22 07:27:53,kalibrasi_total,Node3,84678.31,1,n_frame=20
2026-07-22 07:27:54,lora_link,Node1,1092.01,1,rssi=-68;snr=9.25;bytes=182
2026-07-22 07:27:54,firebase_upload,detection_system/node1,72.24,1,bytes=292
2026-07-22 07:27:56,lora_link,Node2,1095.50,1,rssi=-69;snr=9.75;bytes=182
2026-07-22 07:27:56,firebase_upload,detection_system/node2,84.66,1,bytes=292
2026-07-22 07:27:57,lora_link,Node3,1100.28,1,rssi=-59;snr=9.75;bytes=182
2026-07-22 07:27:57,firebase_upload,detection_system/node3,73.14,1,bytes=292
2026-07-22 07:27:58,lora_link,Node1,1098.60,1,rssi=-68;snr=9.0;bytes=182
2026-07-22 07:27:58,firebase_upload,detection_system/node1,80.62,1,bytes=291
2026-07-22 07:28:00,lora_link,Node2,1098.06,1,rssi=-69;snr=9.75;bytes=182
2026-07-22 07:28:00,firebase_upload,detection_system/node2,77.70,1,bytes=292
2026-07-22 07:28:01,lora_link,Node3,1100.65,1,rssi=-61;snr=9.75;bytes=182
2026-07-22 07:28:01,firebase_upload,detection_system/node3,70.18,1,bytes=292
2026-07-22 07:28:02,lora_link,Node1,1097.60,1,rssi=-68;snr=9.25;bytes=182
2026-07-22 07:28:02,firebase_upload,detection_system/node1,79.10,1,bytes=292
2026-07-22 07:28:04,lora_link,Node2,1100.75,1,rssi=-69;snr=9.5;bytes=182
2026-07-22 07:28:04,firebase_upload,detection_system/node2,74.75,1,bytes=291
2026-07-22 07:28:05,lora_link,Node3,1093.68,1,rssi=-60;snr=9.25;bytes=182
2026-07-22 07:28:05,firebase_upload,detection_system/node3,87.52,1,bytes=292
2026-07-22 07:28:06,lora_link,Node1,1100.63,1,rssi=-68;snr=10.0;bytes=182
2026-07-22 07:28:06,firebase_upload,detection_system/node1,75.52,1,bytes=292
2026-07-22 07:28:06,decision,Node1,0.04,1,pred=0
2026-07-22 07:28:06,firebase_upload,detection_system/node1,68.05,1,bytes=128
2026-07-22 07:28:06,firebase_upload,Timeseries/Node1,81.65,1,bytes=58
2026-07-22 07:28:06,gw_total_frame,Node1,230.52,1,
2026-07-22 07:28:08,lora_link,Node2,1085.66,1,rssi=-69;snr=9.75;bytes=182
2026-07-22 07:28:08,firebase_upload,detection_system/node2,68.12,1,bytes=292
2026-07-22 07:28:08,decision,Node2,0.06,1,pred=0
2026-07-22 07:28:08,firebase_upload,detection_system/node2,73.43,1,bytes=128
2026-07-22 07:28:08,firebase_upload,Timeseries/Node2,64.02,1,bytes=58
2026-07-22 07:28:08,gw_total_frame,Node2,210.29,1,
2026-07-22 07:28:09,lora_link,Node3,1095.35,1,rssi=-60;snr=9.5;bytes=182
2026-07-22 07:28:09,firebase_upload,detection_system/node3,66.22,1,bytes=291
2026-07-22 07:28:10,lora_link,Node1,1100.71,1,rssi=-69;snr=9.25;bytes=182
2026-07-22 07:28:10,firebase_upload,detection_system/node1,69.15,1,bytes=292
2026-07-22 07:28:11,lora_link,Node2,1098.10,1,rssi=-68;snr=10.0;bytes=182
2026-07-22 07:28:12,firebase_upload,detection_system/node2,78.24,1,bytes=292
2026-07-22 07:28:13,lora_link,Node3,1100.29,1,rssi=-60;snr=9.75;bytes=182
2026-07-22 07:28:13,firebase_upload,detection_system/node3,71.72,1,bytes=292
2026-07-22 07:28:13,decision,Node3,0.04,1,pred=0
2026-07-22 07:28:13,firebase_upload,detection_system/node3,68.81,1,bytes=128
2026-07-22 07:28:13,firebase_upload,Timeseries/Node3,72.90,1,bytes=58
2026-07-22 07:28:13,gw_total_frame,Node3,220.32,1,
2026-07-22 07:28:14,lora_link,Node1,1095.44,1,rssi=-71;snr=9.0;bytes=182
2026-07-22 07:28:14,firebase_upload,detection_system/node1,75.64,1,bytes=291
2026-07-22 07:28:14,decision,Node1,0.05,1,pred=0
2026-07-22 07:28:14,firebase_upload,detection_system/node1,73.36,1,bytes=128
2026-07-22 07:28:14,firebase_upload,Timeseries/Node1,66.42,1,bytes=58
2026-07-22 07:28:14,gw_total_frame,Node1,220.36,1,
2026-07-22 07:28:15,lora_link,Node2,1096.03,1,rssi=-66;snr=9.75;bytes=182
2026-07-22 07:28:16,firebase_upload,detection_system/node2,68.81,1,bytes=292
2026-07-22 07:28:16,decision,Node2,0.04,1,pred=0
2026-07-22 07:28:16,firebase_upload,detection_system/node2,66.61,1,bytes=128
2026-07-22 07:28:16,firebase_upload,Timeseries/Node2,80.56,1,bytes=58
2026-07-22 07:28:16,gw_total_frame,Node2,221.72,1,
2026-07-22 07:28:17,lora_link,Node3,1492.95,0,
2026-07-22 07:28:18,lora_link,Node1,1100.54,1,rssi=-70;snr=9.0;bytes=182
2026-07-22 07:28:19,firebase_upload,detection_system/node1,78.50,1,bytes=291
2026-07-22 07:28:20,lora_link,Node2,1097.39,1,rssi=-70;snr=10.0;bytes=182
2026-07-22 07:28:20,firebase_upload,detection_system/node2,75.23,1,bytes=292
2026-07-22 07:28:21,lora_link,Node3,1100.73,1,rssi=-62;snr=10.25;bytes=182
2026-07-22 07:28:21,firebase_upload,detection_system/node3,75.90,1,bytes=293
2026-07-22 07:28:22,lora_link,Node1,1102.77,1,rssi=-69;snr=9.25;bytes=182
2026-07-22 07:28:22,firebase_upload,detection_system/node1,67.37,1,bytes=292
2026-07-22 07:28:22,decision,Node1,0.04,1,pred=0
2026-07-22 07:28:23,firebase_upload,detection_system/node1,79.19,1,bytes=128
2026-07-22 07:28:23,firebase_upload,Timeseries/Node1,79.44,1,bytes=58
2026-07-22 07:28:23,gw_total_frame,Node1,235.28,1,
2026-07-22 07:28:24,lora_link,Node2,1079.94,1,rssi=-71;snr=9.5;bytes=182
2026-07-22 07:28:24,firebase_upload,detection_system/node2,73.43,1,bytes=291
2026-07-22 07:28:24,decision,Node2,0.05,1,pred=0
2026-07-22 07:28:24,firebase_upload,detection_system/node2,68.87,1,bytes=128
2026-07-22 07:28:24,firebase_upload,Timeseries/Node2,68.47,1,bytes=58
2026-07-22 07:28:24,gw_total_frame,Node2,216.01,1,
2026-07-22 07:28:25,lora_link,Node3,1099.09,1,rssi=-61;snr=9.5;bytes=182
2026-07-22 07:28:25,firebase_upload,detection_system/node3,70.84,1,bytes=291
2026-07-22 07:28:25,decision,Node3,0.03,1,pred=0
2026-07-22 07:28:25,firebase_upload,detection_system/node3,85.12,1,bytes=128
2026-07-22 07:28:25,firebase_upload,Timeseries/Node3,74.03,1,bytes=58
2026-07-22 07:28:25,gw_total_frame,Node3,234.63,1,
2026-07-22 07:28:26,lora_link,Node1,1082.19,1,rssi=-70;snr=9.0;bytes=182
2026-07-22 07:28:26,firebase_upload,detection_system/node1,74.26,1,bytes=291
2026-07-22 07:28:28,lora_link,Node2,1100.46,1,rssi=-70;snr=9.75;bytes=182
2026-07-22 07:28:28,firebase_upload,detection_system/node2,66.16,1,bytes=292
2026-07-22 07:28:29,lora_link,Node3,1093.32,1,rssi=-62;snr=9.5;bytes=182
2026-07-22 07:28:29,firebase_upload,detection_system/node3,81.55,1,bytes=291
2026-07-22 07:28:30,lora_link,Node1,1096.03,1,rssi=-70;snr=9.25;bytes=182
2026-07-22 07:28:30,firebase_upload,detection_system/node1,74.18,1,bytes=292
2026-07-22 07:28:30,decision,Node1,0.06,1,pred=0
2026-07-22 07:28:30,firebase_upload,detection_system/node1,73.52,1,bytes=128
2026-07-22 07:28:31,firebase_upload,Timeseries/Node1,74.40,1,bytes=58
2026-07-22 07:28:31,gw_total_frame,Node1,227.33,1,
2026-07-22 07:28:32,lora_link,Node2,1088.48,1,rssi=-71;snr=9.5;bytes=182
